Wed Jul 22 01:26:52 2015    server_profile

         6002727 function calls (5995221 primitive calls) in 24.428 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   302/14    0.002    0.000    0.008    0.001 /usr/lib/python3.4/site-packages/pyparsing.py:957(_parseNoCache)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/socket.py:47(<module>)
      184    0.001    0.000    0.008    0.000 /usr/lib/python3.4/site-packages/matplotlib/cbook.py:1118(dedent)
        8    0.000    0.000    0.008    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:175(set_clip_path)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/site-packages/matplotlib/__init__.py:943(rc_params)
    78/14    0.001    0.000    0.007    0.001 /usr/lib/python3.4/site-packages/pyparsing.py:2358(parseImpl)
    12041    0.007    0.000    0.007    0.000 {built-in method min}
      572    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.4/ssl.py:88(<module>)
      129    0.001    0.000    0.007    0.000 /usr/lib/python3.4/site-packages/matplotlib/transforms.py:1900(scale)
      886    0.006    0.000    0.007    0.000 /usr/lib/python3.4/weakref.py:101(__init__)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.4/site-packages/matplotlib/axes/_subplots.py:110(update_params)
      174    0.000    0.000    0.007    0.000 /usr/lib/python3.4/site-packages/matplotlib/docstring.py:94(dedent)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.4/site-packages/scipy/integrate/__init__.py:48(<module>)
        1    0.006    0.006    0.007    0.007 /usr/lib/python3.4/site-packages/matplotlib/gridspec.py:416(get_position)
      616    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
       22    0.000    0.000    0.007    0.000 /usr/lib/python3.4/site-packages/matplotlib/patches.py:625(get_patch_transform)
       22    0.000    0.000    0.007    0.000 /usr/lib/python3.4/site-packages/matplotlib/patches.py:609(_update_patch_transform)
     2959    0.004    0.000    0.007    0.000 /usr/lib/python3.4/_collections_abc.py:511(__iter__)
