Wed Jul 22 01:14:38 2015    server_profile

         1013272 function calls (1005766 primitive calls) in 4.904 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   148/60    0.000    0.000    0.011    0.000 /usr/lib/python3.4/site-packages/matplotlib/axes/_base.py:548(get_xaxis_transform)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.4/site-packages/numpy/core/numeric.py:1(<module>)
7948/7942    0.010    0.000    0.011    0.000 {built-in method hasattr}
        4    0.000    0.000    0.011    0.003 /usr/lib/python3.4/site-packages/matplotlib/axes/_axes.py:1242(plot)
     3760    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
      453    0.005    0.000    0.011    0.000 /usr/lib/python3.4/site-packages/matplotlib/path.py:199(_update_values)
      152    0.001    0.000    0.011    0.000 /usr/lib/python3.4/sre_compile.py:227(_compile_charset)
        6    0.000    0.000    0.011    0.002 /usr/lib/python3.4/site-packages/matplotlib/__init__.py:1055(rc_params_from_file)
       22    0.000    0.000    0.010    0.000 /usr/lib/python3.4/site-packages/matplotlib/artist.py:560(set_clip_path)
       16    0.000    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/pyparsing.py:1812(__init__)
     2024    0.001    0.000    0.010    0.000 /usr/lib/python3.4/site-packages/numpy/core/_methods.py:37(_any)
      498    0.001    0.000    0.010    0.000 /usr/lib/python3.4/site-packages/matplotlib/__init__.py:851(__setitem__)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.4/logging/__init__.py:24(<module>)
       11    0.000    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/matplotlib/artist.py:883(__init__)
       11    0.001    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/matplotlib/artist.py:901(get_aliases)
      734    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:824(cached)
      152    0.007    0.000    0.010    0.000 /usr/lib/python3.4/sre_compile.py:255(_optimize_charset)
     2163    0.009    0.000    0.010    0.000 /usr/lib/python3.4/collections/__init__.py:62(__setitem__)
       16    0.000    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:559(_get_gridline)
      883    0.003    0.000    0.010    0.000 /usr/lib/python3.4/site-packages/matplotlib/transforms.py:85(__init__)
       16    0.000    0.000    0.010    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:420(_get_gridline)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/numpy/ma/__init__.py:38(<module>)
      367    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
      682    0.002    0.000    0.009    0.000 /usr/lib/python3.4/site-packages/matplotlib/transforms.py:1593(__init__)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/scipy/sparse/linalg/isolve/iterative.py:1(<module>)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/scipy/optimize/_minimize.py:8(<module>)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/matplotlib/rcsetup.py:15(<module>)
43053/42837    0.009    0.000    0.009    0.000 {built-in method len}
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/scipy/special/_ellip_harm.py:1(<module>)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.4/site-packages/numpy/polynomial/__init__.py:15(<module>)
        2    0.000    0.000    0.008    0.004 /usr/lib/python3.4/site-packages/matplotlib/axis.py:858(set_clip_path)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/unittest/result.py:1(<module>)
        8    0.001    0.000    0.008    0.001 /usr/lib/python3.4/site-packages/matplotlib/__init__.py:840(__init__)
       14    0.000    0.000    0.008    0.001 /usr/lib/python3.4/site-packages/pyparsing.py:1084(parseString)
    24000    0.008    0.000    0.008    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/objects_revised.py:62(getPosition)
      853    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/shutil.py:5(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/site-packages/numpy/lib/index_tricks.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/site-packages/scipy/sparse/csgraph/__init__.py:119(<module>)
       22    0.000    0.000    0.008    0.000 /usr/lib/python3.4/site-packages/matplotlib/patches.py:185(get_transform)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/site-packages/matplotlib/tri/__init__.py:3(<module>)
      946    0.004    0.000    0.008    0.000 /usr/lib/python3.4/abc.py:178(__instancecheck__)
   302/14    0.002    0.000    0.008    0.001 /usr/lib/python3.4/site-packages/pyparsing.py:957(_parseNoCache)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/socket.py:47(<module>)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.4/site-packages/matplotlib/__init__.py:943(rc_params)
      184    0.001    0.000    0.008    0.000 /usr/lib/python3.4/site-packages/matplotlib/cbook.py:1118(dedent)
    78/14    0.001    0.000    0.008    0.001 /usr/lib/python3.4/site-packages/pyparsing.py:2358(parseImpl)
        8    0.000    0.000    0.007    0.001 /usr/lib/python3.4/site-packages/matplotlib/axis.py:175(set_clip_path)
     2124    0.006    0.000    0.007    0.000 /usr/lib/python3.4/inspect.py:2118(__init__)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.4/ssl.py:88(<module>)
      572    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.4/site-packages/matplotlib/style/__init__.py:1(<module>)
      129    0.001    0.000    0.007    0.000 /usr/lib/python3.4/site-packages/matplotlib/transforms.py:1900(scale)
     2959    0.005    0.000    0.007    0.000 /usr/lib/python3.4/_collections_abc.py:511(__iter__)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.4/site-packages/matplotlib/axes/_subplots.py:110(update_params)
        1    0.006    0.006    0.007    0.007 /usr/lib/python3.4/site-packages/matplotlib/gridspec.py:416(get_position)
    12041    0.007    0.000    0.007    0.000 {built-in method min}
      616    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.4/site-packages/scipy/integrate/__init__.py:48(<module>)
      174    0.000    0.000    0.007    0.000 /usr/lib/python3.4/site-packages/matplotlib/docstring.py:94(dedent)
      886    0.005    0.000    0.007    0.000 /usr/lib/python3.4/weakref.py:101(__init__)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.4/tempfile.py:16(<module>)
       22    0.000    0.000    0.007    0.000 /usr/lib/python3.4/site-packages/matplotlib/patches.py:625(get_patch_transform)
       22    0.000    0.000    0.007    0.000 /usr/lib/python3.4/site-packages/matplotlib/patches.py:609(_update_patch_transform)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.4/site-packages/matplotlib/cm.py:6(<module>)
      151    0.001    0.000    0.007    0.000 /usr/lib/python3.4/site-packages/matplotlib/transforms.py:1739(__init__)
      440    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
